,sequence,guess
488,"['ADJ', 'NOUN', '_']",zhs_ud
489,"['VERB', 'PUNCT', '_']",zhs_ud
490,"['PRON', 'PUNCT', 'ADV']",en_ud
491,"['VERB', 'VERB', 'PUNCT']",zhs_ud
492,"['DET', 'NOUN', 'PUNCT']",en_ud
493,"['ADV', 'PUNCT', 'CCONJ']",zhs_ud
494,"['ADV', 'CCONJ', 'NOUN']",zhs_ud
495,"['VERB', 'ADP', 'DET']",zhs_ud
496,"['VERB', 'PRON', 'VERB']",zhs_ud
497,"['ADP', 'NOUN', 'PUNCT']",zhs_ud
498,"['VERB', 'DET', 'NOUN']",zhs_ud
499,"['ADP', 'DET', 'NOUN']",en_ud
500,"['ADP', 'DET', 'PROPN']",en_ud
501,"['VERB', 'PUNCT', '_']",zhs_ud
502,"['ADJ', 'NOUN', 'PUNCT']",zhs_ud
503,"['ADV', 'ADJ', 'PUNCT']",zhs_ud
504,"['ADP', 'DET', 'NOUN']",en_ud
505,"['NOUN', 'PART', 'NOUN']",zhs_ud
506,"['VERB', 'CCONJ', 'NOUN']",zhs_ud
507,"['DET', 'NOUN', 'ADV']",en_ud
508,"['VERB', 'ADV', 'VERB']",zhs_ud
509,"['VERB', 'ADJ', 'ADP']",zhs_ud
510,"['NOUN', 'PUNCT', 'PUNCT']",zhs_ud
511,"['ADP', 'PROPN', 'PUNCT']",en_ud
512,"['PUNCT', 'NOUN', 'PUNCT']",zhs_ud
513,"['ADJ', 'CCONJ', 'ADJ']",en_ud
514,"['NOUN', 'ADP', 'NUM']",zhs_ud
515,"['DET', 'NOUN', 'PRON']",en_ud
516,"['VERB', 'ADV', 'PRON']",zhs_ud
517,"['ADJ', 'PART', 'VERB']",zhs_ud
518,"['ADP', 'DET', 'ADJ']",en_ud
519,"['NOUN', 'PUNCT', 'CCONJ']",zhs_ud
520,"['ADP', 'ADJ', 'NOUN']",en_ud
521,"['VERB', 'PRON', 'PART']",zhs_ud
522,"['VERB', 'PART', 'VERB']",zhs_ud
523,"['ADP', 'NOUN', 'DET']",en_ud
524,"['NOUN', 'VERB', 'VERB']",zhs_ud
525,"['NOUN', 'PUNCT', 'PRON']",zhs_ud
526,"['VERB', 'VERB', 'ADP']",zhs_ud
527,"['ADJ', 'ADP', 'NOUN']",en_ud
528,"['VERB', 'PART', 'VERB']",zhs_ud
529,"['VERB', 'ADP', 'PROPN']",zhs_ud
530,"['VERB', 'ADJ', 'PUNCT']",zhs_ud
531,"['ADV', 'VERB', 'VERB']",zhs_ud
532,"['ADV', 'PRON', 'VERB']",zhs_ud
533,"['NOUN', 'ADP', 'DET']",zhs_ud
534,"['ADJ', 'NOUN', 'PRON']",zhs_ud
535,"['VERB', 'DET', 'NOUN']",zhs_ud
536,"['VERB', 'VERB', 'DET']",zhs_ud
537,"['DET', 'ADJ', 'NOUN']",en_ud
538,"['VERB', 'PUNCT', 'VERB']",zhs_ud
539,"['VERB', 'DET', 'ADJ']",zhs_ud
540,"['ADP', 'ADJ', 'NOUN']",en_ud
541,"['NOUN', 'ADP', 'PROPN']",zhs_ud
542,"['VERB', 'ADP', 'DET']",zhs_ud
543,"['ADJ', 'ADP', 'DET']",en_ud
544,"['NOUN', 'PUNCT', 'ADJ']",zhs_ud
545,"['NOUN', 'PUNCT', 'PRON']",zhs_ud
546,"['NOUN', 'ADP', 'PRON']",zhs_ud
547,"['VERB', 'VERB', 'DET']",zhs_ud
548,"['NOUN', 'CCONJ', 'NOUN']",zhs_ud
549,"['VERB', 'VERB', 'ADP']",zhs_ud
550,"['VERB', 'VERB', 'ADP']",zhs_ud
551,"['NOUN', 'ADP', 'DET']",zhs_ud
552,"['PRON', 'VERB', 'VERB']",zhs_ud
553,"['DET', 'DET', 'NOUN']",en_ud
554,"['NOUN', 'PUNCT', 'PRON']",zhs_ud
555,"['NOUN', 'PRON', 'VERB']",zhs_ud
556,"['ADP', 'DET', 'ADJ']",en_ud
557,"['DET', 'VERB', 'DET']",en_ud
558,"['ADJ', 'PUNCT', 'CCONJ']",en_ud
559,"['NOUN', 'PUNCT', 'ADV']",zhs_ud
560,"['VERB', 'NOUN', 'CCONJ']",zhs_ud
561,"['VERB', 'ADV', 'ADV']",zhs_ud
562,"['NOUN', 'VERB', 'DET']",zhs_ud
563,"['VERB', 'ADP', 'DET']",zhs_ud
564,"['VERB', 'VERB', 'ADP']",zhs_ud
565,"['PROPN', 'PROPN', 'PUNCT']",en_ud
566,"['NOUN', 'ADV', 'ADP']",zhs_ud
567,"['ADJ', 'ADP', 'PRON']",en_ud
568,"['PRON', 'PUNCT', '_']",en_ud
569,"['DET', 'NOUN', 'PRON']",en_ud
570,"['ADJ', 'NOUN', 'PUNCT']",zhs_ud
571,"['NOUN', 'PUNCT', 'ADV']",zhs_ud
572,"['NOUN', 'PUNCT', 'ADV']",zhs_ud
573,"['ADV', 'PUNCT', '_']",zhs_ud
574,"['ADV', 'ADJ', 'ADV']",zhs_ud
575,"['ADP', 'DET', 'NOUN']",en_ud
576,"['ADV', 'PRON', 'VERB']",zhs_ud
577,"['VERB', 'ADP', 'NOUN']",zhs_ud
578,"['VERB', 'ADP', 'DET']",zhs_ud
579,"['PRON', 'VERB', 'DET']",zhs_ud
580,"['NOUN', 'CCONJ', 'ADP']",zhs_ud
581,"['NOUN', 'CCONJ', 'NOUN']",zhs_ud
582,"['ADV', 'VERB', 'DET']",zhs_ud
583,"['VERB', 'ADP', 'PROPN']",zhs_ud
584,"['VERB', 'DET', 'VERB']",zhs_ud
585,"['NOUN', 'ADP', 'DET']",zhs_ud
586,"['ADV', 'PUNCT', 'ADV']",zhs_ud
587,"['VERB', 'PUNCT', 'VERB']",zhs_ud
588,"['VERB', 'ADP', 'DET']",zhs_ud
589,"['VERB', 'ADV', 'NUM']",zhs_ud
590,"['PROPN', 'PROPN', 'PUNCT']",en_ud
591,"['ADV', 'PUNCT', 'ADP']",zhs_ud
592,"['DET', 'VERB', 'VERB']",en_ud
593,"['VERB', 'VERB', 'ADP']",zhs_ud
594,"['VERB', 'ADP', 'NUM']",zhs_ud
595,"['NOUN', 'VERB', 'PART']",zhs_ud
596,"['NOUN', 'PUNCT', 'ADJ']",zhs_ud
597,"['ADJ', 'NOUN', 'CCONJ']",zhs_ud
598,"['ADP', 'DET', 'NOUN']",en_ud
599,"['DET', 'NOUN', 'ADP']",en_ud
600,"['VERB', 'NOUN', 'ADP']",zhs_ud
601,"['NOUN', 'PUNCT', 'PRON']",zhs_ud
602,"['PROPN', 'PART', 'PUNCT']",zhs_ud
603,"['ADJ', 'NOUN', 'PUNCT']",zhs_ud
604,"['NOUN', 'ADP', 'PROPN']",zhs_ud
605,"['VERB', 'DET', 'NOUN']",zhs_ud
606,"['NOUN', 'VERB', 'PRON']",zhs_ud
607,"['INTJ', 'PUNCT', 'ADP']",en_ud
608,"['ADJ', 'PART', 'VERB']",zhs_ud
609,"['VERB', 'VERB', 'DET']",zhs_ud
610,"['VERB', 'NOUN', 'PUNCT']",zhs_ud
611,"['DET', 'ADJ', 'NOUN']",en_ud
612,"['ADP', 'DET', 'NOUN']",en_ud
613,"['NOUN', 'VERB', 'VERB']",zhs_ud
614,"['VERB', 'PRON', 'ADP']",zhs_ud
615,"['ADJ', 'PUNCT', 'ADP']",en_ud
616,"['VERB', 'PART', 'VERB']",zhs_ud
617,"['ADP', 'ADJ', 'NOUN']",en_ud
618,"['VERB', 'ADV', 'ADJ']",zhs_ud
619,"['NOUN', 'PUNCT', 'ADV']",zhs_ud
620,"['VERB', 'VERB', 'DET']",zhs_ud
621,"['ADP', 'DET', 'NOUN']",en_ud
622,"['PROPN', 'PROPN', 'NOUN']",en_ud
623,"['NOUN', 'NOUN', 'CCONJ']",zhs_ud
624,"['VERB', 'NOUN', 'ADJ']",zhs_ud
625,"['VERB', 'DET', 'NOUN']",zhs_ud
626,"['PRON', 'ADP', 'DET']",en_ud
627,"['NOUN', 'NOUN', 'PUNCT']",zhs_ud
628,"['NOUN', 'PUNCT', 'ADV']",zhs_ud
629,"['ADP', 'DET', 'NOUN']",en_ud
630,"['NOUN', 'ADP', 'DET']",zhs_ud
631,"['ADJ', 'NOUN', 'ADV']",zhs_ud
632,"['NOUN', 'VERB', 'DET']",zhs_ud
633,"['VERB', 'ADV', 'PRON']",zhs_ud
634,"['NOUN', 'PRON', 'AUX']",zhs_ud
635,"['NOUN', 'ADP', 'PRON']",zhs_ud
636,"['ADP', 'NOUN', 'PUNCT']",zhs_ud
637,"['PROPN', 'PROPN', 'PUNCT']",en_ud
638,"['VERB', 'VERB', 'DET']",zhs_ud
639,"['VERB', 'ADP', 'DET']",zhs_ud
640,"['ADP', 'DET', 'NOUN']",en_ud
641,"['NOUN', 'NOUN', 'VERB']",zhs_ud
642,"['NOUN', 'NOUN', 'ADP']",zhs_ud
643,"['PRON', 'VERB', 'VERB']",zhs_ud
644,"['NOUN', 'PUNCT', 'CCONJ']",zhs_ud
645,"['ADP', 'DET', 'NOUN']",en_ud
646,"['DET', 'NOUN', 'NOUN']",en_ud
647,"['ADJ', 'ADP', 'DET']",en_ud
648,"['ADP', 'VERB', 'CCONJ']",en_ud
649,"['NOUN', 'DET', 'PRON']",zhs_ud
650,"['NOUN', 'PUNCT', 'CCONJ']",zhs_ud
651,"['ADP', 'DET', 'NOUN']",en_ud
652,"['VERB', 'PROPN', 'PROPN']",zhs_ud
653,"['NOUN', 'DET', 'NOUN']",zhs_ud
654,"['VERB', 'ADP', 'ADJ']",zhs_ud
655,"['NOUN', 'VERB', 'ADJ']",zhs_ud
656,"['DET', 'NOUN', 'ADP']",en_ud
657,"['NOUN', 'NOUN', 'PUNCT']",zhs_ud
658,"['PROPN', 'VERB', 'DET']",zhs_ud
659,"['VERB', 'VERB', 'ADP']",zhs_ud
660,"['ADP', 'DET', 'ADJ']",en_ud
661,"['ADV', 'CCONJ', 'VERB']",zhs_ud
662,"['NOUN', 'ADP', 'DET']",zhs_ud
663,"['NOUN', 'PUNCT', 'PROPN']",zhs_ud
664,"['VERB', 'ADJ', 'VERB']",zhs_ud
665,"['NOUN', 'NOUN', 'ADP']",zhs_ud
666,"['DET', 'DET', 'NOUN']",en_ud
667,"['PROPN', 'PROPN', 'NOUN']",en_ud
668,"['ADV', 'PUNCT', 'ADP']",zhs_ud
669,"['VERB', 'PRON', 'ADJ']",zhs_ud
670,"['ADJ', 'ADP', 'PRON']",en_ud
671,"['DET', 'VERB', 'VERB']",en_ud
672,"['NOUN', 'CCONJ', 'DET']",zhs_ud
673,"['NOUN', 'PART', 'VERB']",zhs_ud
674,"['ADJ', 'ADP', 'PRON']",en_ud
675,"['VERB', 'ADV', 'NUM']",zhs_ud
676,"['PROPN', 'PROPN', 'PROPN']",en_ud
677,"['ADJ', 'PUNCT', '_']",en_ud
678,"['NOUN', 'CCONJ', 'ADJ']",zhs_ud
679,"['NOUN', 'PROPN', 'PUNCT']",zhs_ud
680,"['VERB', 'DET', 'NOUN']",zhs_ud
681,"['NOUN', 'NOUN', 'PRON']",zhs_ud
682,"['NOUN', 'PUNCT', 'PRON']",zhs_ud
683,"['VERB', 'DET', 'PUNCT']",zhs_ud
684,"['ADP', 'DET', 'NOUN']",en_ud
685,"['INTJ', 'VERB', 'DET']",zhs_ud
686,"['NOUN', 'ADP', 'DET']",zhs_ud
687,"['ADP', 'DET', 'NOUN']",en_ud
688,"['DET', 'NOUN', 'DET']",en_ud
689,"['ADP', 'PRON', 'VERB']",en_ud
690,"['DET', 'NOUN', 'PRON']",en_ud
691,"['ADP', 'DET', 'NOUN']",en_ud
692,"['NOUN', 'NOUN', 'PUNCT']",zhs_ud
693,"['NOUN', 'CCONJ', 'PRON']",zhs_ud
694,"['NOUN', 'VERB', 'PUNCT']",zhs_ud
695,"['NOUN', 'PUNCT', 'DET']",zhs_ud
696,"['PRON', 'CCONJ', 'DET']",en_ud
697,"['CCONJ', 'NOUN', 'ADV']",zhs_ud
698,"['ADJ', 'NOUN', 'VERB']",zhs_ud
699,"['DET', 'ADJ', 'PUNCT']",en_ud
700,"['ADP', 'ADJ', 'NOUN']",en_ud
701,"['ADV', 'PUNCT', 'PRON']",zhs_ud
702,"['NOUN', 'PUNCT', 'VERB']",zhs_ud
703,"['ADV', 'VERB', 'ADJ']",zhs_ud
704,"['NOUN', 'PART', 'ADJ']",zhs_ud
705,"['DET', 'VERB', 'NUM']",en_ud
706,"['AUX', 'ADV', 'VERB']",en_ud
707,"['PROPN', 'PROPN', 'PROPN']",en_ud
708,"['NOUN', 'PUNCT', 'PRON']",zhs_ud
709,"['ADJ', 'NOUN', 'PUNCT']",zhs_ud
710,"['NOUN', 'ADP', 'DET']",zhs_ud
711,"['ADP', 'PRON', 'PRON']",en_ud
712,"['VERB', 'DET', 'ADJ']",zhs_ud
713,"['NOUN', 'NOUN', 'PUNCT']",zhs_ud
714,"['VERB', 'ADP', 'ADV']",zhs_ud
715,"['VERB', 'ADV', 'ADJ']",zhs_ud
716,"['PROPN', 'VERB', 'DET']",zhs_ud
717,"['DET', 'PROPN', 'PROPN']",en_ud
718,"['ADJ', 'NOUN', 'PUNCT']",zhs_ud
719,"['ADV', 'VERB', 'NOUN']",zhs_ud
720,"['ADP', 'NOUN', 'ADP']",en_ud
721,"['ADP', 'DET', 'ADJ']",en_ud
722,"['ADJ', 'NOUN', 'ADV']",zhs_ud
723,"['DET', 'NOUN', 'PRON']",en_ud
724,"['VERB', 'ADV', 'VERB']",zhs_ud
725,"['VERB', 'ADJ', 'NOUN']",zhs_ud
726,"['DET', 'ADJ', 'NOUN']",en_ud
727,"['DET', 'NOUN', 'VERB']",en_ud
728,"['ADV', 'ADJ', 'PUNCT']",zhs_ud
729,"['ADP', 'ADP', 'DET']",en_ud
730,"['ADJ', 'PUNCT', 'PROPN']",en_ud
731,"['NOUN', 'VERB', 'DET']",zhs_ud
732,"['VERB', 'CCONJ', 'VERB']",zhs_ud
733,"['ADJ', 'PUNCT', 'PRON']",en_ud
734,"['NOUN', 'ADP', 'PROPN']",zhs_ud
735,"['VERB', 'ADV', 'VERB']",zhs_ud
736,"['VERB', 'VERB', 'ADJ']",zhs_ud
737,"['NOUN', 'PUNCT', '_']",zhs_ud
738,"['VERB', 'ADV', 'DET']",zhs_ud
739,"['ADJ', 'PUNCT', 'PUNCT']",en_ud
740,"['VERB', 'PART', 'ADP']",zhs_ud
741,"['NOUN', 'PUNCT', 'ADP']",zhs_ud
742,"['ADP', 'DET', 'NOUN']",en_ud
743,"['PROPN', 'NOUN', 'ADP']",zhs_ud
744,"['ADV', 'NOUN', 'CCONJ']",zhs_ud
745,"['PART', 'VERB', 'DET']",zhs_ud
746,"['ADV', 'ADP', 'NOUN']",zhs_ud
747,"['ADP', 'DET', 'NOUN']",en_ud
748,"['ADV', 'ADP', 'NUM']",zhs_ud
749,"['VERB', 'PRON', 'PRON']",zhs_ud
750,"['VERB', 'DET', 'NOUN']",zhs_ud
751,"['VERB', 'ADP', 'NUM']",zhs_ud
752,"['ADJ', 'ADP', 'PRON']",en_ud
753,"['NOUN', 'NOUN', 'PUNCT']",zhs_ud
754,"['PART', 'VERB', 'PRON']",zhs_ud
755,"['NOUN', 'PRON', 'VERB']",zhs_ud
756,"['ADP', 'DET', 'NOUN']",en_ud
757,"['ADV', 'ADJ', 'ADP']",zhs_ud
758,"['ADJ', 'ADP', 'PRON']",en_ud
759,"['VERB', 'ADV', 'VERB']",zhs_ud
760,"['NOUN', 'VERB', 'ADV']",zhs_ud
761,"['VERB', 'PART', 'PART']",zhs_ud
762,"['NOUN', 'PUNCT', 'ADV']",zhs_ud
763,"['VERB', 'VERB', 'VERB']",zhs_ud
764,"['NOUN', 'PART', 'VERB']",zhs_ud
765,"['NOUN', 'NOUN', 'PUNCT']",zhs_ud
766,"['PRON', 'PUNCT', '_']",en_ud
767,"['VERB', 'VERB', 'PART']",zhs_ud
768,"['NOUN', 'PUNCT', '_']",zhs_ud
769,"['NOUN', 'NOUN', 'PUNCT']",zhs_ud
770,"['ADV', 'ADJ', 'ADP']",zhs_ud
771,"['ADP', 'PRON', 'VERB']",en_ud
772,"['VERB', 'ADP', 'DET']",zhs_ud
773,"['NOUN', 'DET', 'VERB']",zhs_ud
774,"['VERB', 'VERB', 'ADJ']",zhs_ud
775,"['VERB', 'PUNCT', '_']",zhs_ud
776,"['ADP', 'DET', 'ADJ']",en_ud
777,"['NOUN', 'VERB', 'ADV']",zhs_ud
778,"['VERB', 'VERB', 'ADP']",zhs_ud
779,"['VERB', 'VERB', 'ADP']",zhs_ud
780,"['NOUN', 'PUNCT', 'X']",zhs_ud
781,"['ADJ', 'PUNCT', 'ADP']",en_ud
782,"['ADJ', 'NOUN', 'PUNCT']",zhs_ud
783,"['NOUN', 'PUNCT', 'ADJ']",zhs_ud
784,"['SYM', 'NUM', 'NOUN']",zhs_ud
785,"['ADJ', 'NOUN', 'ADP']",zhs_ud
786,"['VERB', 'PART', 'DET']",zhs_ud
787,"['ADP', 'DET', 'NOUN']",en_ud
788,"['ADJ', 'NOUN', 'PART']",zhs_ud
789,"['VERB', 'PRON', 'ADP']",zhs_ud
790,"['ADP', 'ADJ', 'PUNCT']",en_ud
791,"['VERB', 'VERB', 'ADV']",zhs_ud
792,"['DET', 'NOUN', 'ADP']",en_ud
793,"['ADV', 'VERB', 'NOUN']",zhs_ud
794,"['NOUN', 'PUNCT', 'VERB']",zhs_ud
795,"['NOUN', 'ADP', 'DET']",zhs_ud
796,"['ADV', 'VERB', 'VERB']",zhs_ud
797,"['NOUN', 'VERB', 'NOUN']",zhs_ud
798,"['ADP', 'DET', 'NOUN']",en_ud
799,"['VERB', 'DET', 'NOUN']",zhs_ud
800,"['INTJ', 'PRON', 'VERB']",en_ud
801,"['ADP', 'NOUN', 'ADP']",en_ud
802,"['NOUN', 'ADJ', 'PUNCT']",zhs_ud
803,"['VERB', 'PART', 'VERB']",zhs_ud
804,"['ADP', 'DET', 'NOUN']",en_ud
805,"['NOUN', 'PUNCT', 'PUNCT']",zhs_ud
806,"['ADJ', 'ADP', 'DET']",en_ud
807,"['PRON', 'VERB', 'PRON']",zhs_ud
808,"['DET', 'NOUN', 'PUNCT']",en_ud
809,"['NOUN', 'PUNCT', 'DET']",zhs_ud
810,"['VERB', 'VERB', 'NOUN']",zhs_ud
811,"['VERB', 'PART', 'VERB']",zhs_ud
812,"['NOUN', 'ADP', 'PROPN']",zhs_ud
813,"['ADP', 'DET', 'ADJ']",en_ud
814,"['ADP', 'ADJ', 'VERB']",en_ud
815,"['NOUN', 'VERB', 'VERB']",zhs_ud
816,"['VERB', 'ADP', 'DET']",zhs_ud
817,"['PRON', 'VERB', 'NOUN']",zhs_ud
818,"['NOUN', 'ADP', 'NOUN']",zhs_ud
819,"['ADJ', 'NOUN', 'ADP']",zhs_ud
820,"['VERB', 'DET', 'ADJ']",zhs_ud
821,"['ADP', 'DET', 'NOUN']",en_ud
822,"['INTJ', 'ADP', 'NOUN']",en_ud
823,"['NOUN', 'NOUN', 'PUNCT']",zhs_ud
824,"['ADJ', 'NOUN', 'PUNCT']",zhs_ud
825,"['VERB', 'DET', 'NOUN']",zhs_ud
826,"['DET', 'ADJ', 'NOUN']",en_ud
827,"['VERB', 'ADV', 'VERB']",zhs_ud
828,"['ADV', 'ADJ', 'PUNCT']",zhs_ud
829,"['VERB', 'PUNCT', 'VERB']",zhs_ud
830,"['NOUN', 'VERB', 'NOUN']",zhs_ud
831,"['VERB', 'PRON', 'PART']",zhs_ud
832,"['ADP', 'DET', 'NOUN']",en_ud
833,"['ADV', 'VERB', 'PUNCT']",zhs_ud
834,"['NOUN', 'CCONJ', 'ADP']",zhs_ud
835,"['ADP', 'DET', 'NOUN']",en_ud
836,"['PRON', 'VERB', 'PRON']",zhs_ud
837,"['DET', 'PRON', 'VERB']",en_ud
838,"['VERB', 'PRON', 'PUNCT']",zhs_ud
839,"['ADJ', 'PUNCT', 'ADP']",en_ud
840,"['ADP', 'DET', 'NOUN']",en_ud
841,"['NOUN', 'ADV', 'PUNCT']",zhs_ud
842,"['VERB', 'VERB', 'ADP']",zhs_ud
843,"['VERB', 'ADP', 'NOUN']",zhs_ud
844,"['NOUN', 'ADV', 'PRON']",zhs_ud
845,"['ADP', 'DET', 'NOUN']",en_ud
846,"['ADP', 'DET', 'NOUN']",en_ud
847,"['NUM', 'NOUN', 'PART']",zhs_ud
848,"['NOUN', 'PUNCT', 'PROPN']",zhs_ud
849,"['VERB', 'ADP', 'DET']",zhs_ud
850,"['ADV', 'ADP', 'NOUN']",zhs_ud
851,"['NOUN', 'NOUN', 'PUNCT']",zhs_ud
852,"['PROPN', 'PUNCT', '_']",en_ud
853,"['NOUN', 'PART', 'ADJ']",zhs_ud
854,"['ADV', 'PRON', 'AUX']",zhs_ud
855,"['DET', 'NOUN', 'VERB']",en_ud
856,"['VERB', 'ADP', 'ADJ']",zhs_ud
857,"['ADJ', 'PART', 'VERB']",zhs_ud
858,"['NOUN', 'PUNCT', 'ADP']",zhs_ud
859,"['ADP', 'DET', 'NOUN']",en_ud
860,"['NOUN', 'DET', 'VERB']",zhs_ud
861,"['NOUN', 'PUNCT', '_']",zhs_ud
862,"['ADJ', 'ADP', 'DET']",en_ud
863,"['VERB', 'ADJ', 'ADP']",zhs_ud
864,"['DET', 'NOUN', 'PRON']",en_ud
865,"['ADP', 'DET', 'NOUN']",en_ud
866,"['ADV', 'VERB', 'CCONJ']",zhs_ud
867,"['VERB', 'NOUN', 'ADJ']",zhs_ud
868,"['NOUN', 'PUNCT', 'PRON']",zhs_ud
869,"['VERB', 'PART', 'CCONJ']",zhs_ud
870,"['VERB', 'PRON', 'VERB']",zhs_ud
871,"['NOUN', 'VERB', 'VERB']",zhs_ud
872,"['NOUN', 'VERB', 'ADV']",zhs_ud
873,"['VERB', 'PUNCT', 'ADV']",zhs_ud
874,"['VERB', 'DET', 'NOUN']",zhs_ud
875,"['VERB', 'NUM', 'NOUN']",zhs_ud
876,"['DET', 'NOUN', 'PRON']",en_ud
877,"['NOUN', 'PUNCT', 'DET']",zhs_ud
878,"['ADV', 'ADJ', 'NOUN']",zhs_ud
879,"['NOUN', 'PUNCT', 'ADP']",zhs_ud
880,"['ADV', 'PUNCT', '_']",zhs_ud
881,"['VERB', 'ADV', 'VERB']",zhs_ud
882,"['PART', 'PART', 'VERB']",zhs_ud
883,"['NOUN', 'PUNCT', 'PRON']",zhs_ud
884,"['CCONJ', 'VERB', 'DET']",zhs_ud
885,"['PART', 'VERB', 'NOUN']",zhs_ud
886,"['DET', 'NOUN', 'PRON']",en_ud
887,"['NOUN', 'PUNCT', '_']",zhs_ud
888,"['VERB', 'DET', 'NOUN']",zhs_ud
889,"['VERB', 'ADV', 'VERB']",zhs_ud
890,"['VERB', 'PART', 'VERB']",zhs_ud
891,"['VERB', 'PART', 'VERB']",zhs_ud
892,"['PUNCT', 'PUNCT', 'ADP']",en_ud
893,"['ADP', 'PRON', 'ADV']",en_ud
894,"['DET', 'VERB', 'VERB']",en_ud
895,"['ADV', 'NOUN', 'PUNCT']",zhs_ud
896,"['NOUN', 'NOUN', 'PUNCT']",zhs_ud
897,"['CCONJ', 'ADP', 'DET']",en_ud
898,"['ADP', 'PRON', 'PUNCT']",en_ud
899,"['VERB', 'DET', 'NOUN']",zhs_ud
900,"['DET', 'VERB', 'ADV']",en_ud
901,"['ADP', 'DET', 'PROPN']",en_ud
902,"['NOUN', 'VERB', 'PRON']",zhs_ud
903,"['DET', 'VERB', 'ADP']",en_ud
904,"['ADP', 'NOUN', 'PUNCT']",zhs_ud
905,"['NOUN', 'ADP', 'DET']",zhs_ud
906,"['VERB', 'NOUN', 'PUNCT']",zhs_ud
907,"['NOUN', 'ADP', 'NOUN']",zhs_ud
908,"['ADV', 'ADP', 'NOUN']",zhs_ud
909,"['NOUN', 'PART', 'VERB']",zhs_ud
910,"['ADV', 'NUM', 'NOUN']",zhs_ud
911,"['ADV', 'VERB', 'ADP']",zhs_ud
912,"['ADV', 'VERB', 'ADP']",zhs_ud
913,"['ADP', 'DET', 'NOUN']",en_ud
914,"['VERB', 'ADP', 'DET']",zhs_ud
915,"['VERB', 'PRON', 'ADP']",zhs_ud
916,"['PUNCT', '_', '_']",en_ud
917,"['NOUN', 'PUNCT', 'DET']",zhs_ud
918,"['ADJ', 'PUNCT', 'CCONJ']",en_ud
919,"['ADJ', 'NOUN', 'NOUN']",zhs_ud
920,"['ADP', 'PUNCT', 'NUM']",en_ud
921,"['NOUN', 'ADV', 'PUNCT']",zhs_ud
922,"['CCONJ', 'ADV', 'ADJ']",en_ud
923,"['PART', 'VERB', 'NOUN']",zhs_ud
924,"['NOUN', 'CCONJ', 'VERB']",zhs_ud
925,"['VERB', 'PUNCT', 'DET']",zhs_ud
926,"['NOUN', 'NOUN', 'CCONJ']",zhs_ud
927,"['NOUN', 'NOUN', 'ADP']",zhs_ud
928,"['ADP', 'NOUN', 'VERB']",en_ud
929,"['VERB', 'DET', 'NOUN']",zhs_ud
930,"['NOUN', 'VERB', 'ADV']",zhs_ud
931,"['NOUN', 'PUNCT', 'ADV']",zhs_ud
932,"['VERB', 'PUNCT', 'CCONJ']",zhs_ud
933,"['DET', 'NOUN', 'PUNCT']",en_ud
934,"['VERB', 'ADV', 'VERB']",zhs_ud
935,"['VERB', 'VERB', 'ADV']",zhs_ud
936,"['ADP', 'ADJ', 'PUNCT']",en_ud
937,"['VERB', 'PART', 'VERB']",zhs_ud
938,"['NOUN', 'PUNCT', 'DET']",zhs_ud
939,"['VERB', 'PART', 'VERB']",zhs_ud
940,"['NOUN', 'PUNCT', 'ADV']",zhs_ud
941,"['ADP', 'PROPN', 'PROPN']",en_ud
942,"['ADJ', 'NOUN', 'PUNCT']",zhs_ud
943,"['NOUN', 'PUNCT', 'PRON']",zhs_ud
944,"['VERB', 'ADP', 'DET']",zhs_ud
945,"['VERB', 'VERB', 'PART']",zhs_ud
946,"['DET', 'ADJ', 'NOUN']",en_ud
947,"['ADV', 'ADP', 'NOUN']",zhs_ud
948,"['VERB', 'DET', 'NOUN']",zhs_ud
949,"['ADJ', 'NOUN', 'PUNCT']",zhs_ud
950,"['ADJ', 'NOUN', 'ADP']",zhs_ud
951,"['VERB', 'ADP', 'DET']",zhs_ud
952,"['PRON', 'VERB', 'VERB']",zhs_ud
953,"['ADJ', 'ADP', 'PRON']",en_ud
954,"['ADV', 'VERB', 'DET']",zhs_ud
955,"['VERB', 'DET', 'VERB']",zhs_ud
956,"['ADP', 'DET', 'DET']",en_ud
957,"['ADV', 'ADJ', 'ADV']",zhs_ud
958,"['PROPN', 'VERB', 'DET']",zhs_ud
959,"['VERB', 'PRON', 'ADV']",zhs_ud
960,"['VERB', 'VERB', 'PRON']",zhs_ud
961,"['VERB', 'ADP', 'DET']",zhs_ud
962,"['NOUN', 'NOUN', 'PUNCT']",zhs_ud
963,"['VERB', 'ADJ', 'PUNCT']",zhs_ud
964,"['ADV', 'VERB', 'ADJ']",zhs_ud
965,"['ADP', 'DET', 'NOUN']",en_ud
966,"['VERB', 'ADV', 'ADV']",zhs_ud
967,"['NOUN', 'DET', 'NOUN']",zhs_ud
968,"['VERB', 'ADP', 'DET']",zhs_ud
969,"['DET', 'VERB', 'VERB']",en_ud
970,"['VERB', 'NOUN', 'PART']",zhs_ud
971,"['VERB', 'VERB', 'ADP']",zhs_ud
972,"['VERB', 'ADV', 'ADP']",zhs_ud
973,"['NOUN', 'PUNCT', 'PRON']",zhs_ud
974,"['ADV', 'PRON', 'VERB']",zhs_ud
975,"['ADP', 'DET', 'ADJ']",en_ud
976,"['ADP', 'ADP', 'NOUN']",en_ud
977,"['ADV', 'ADP', 'ADP']",zhs_ud
978,"['ADP', 'DET', 'NOUN']",en_ud
