,incorrect_trigram_tags,correct_trigram_tags,count
1403,VB DT NN,VB VBN DT,1
1401,VB DT NN,VB RP DT,1
1416,VB DT PRP$,VBZ PDT PRP$,1
1400,VB DT NN,VB PRP$ NN,1
1399,VB DT NN,VB NN IN,1
1398,VB DT NN,VB IN IN,1
1396,VB DT NN,VB DT VB,1
52,CC NNP .,CC NNP .,1
1564,VBD IN PRP$,VBZ VBN IN,1
1391,VB DT CD,VB DT CD,1
1390,VB CD NNS,VBG CD NNS,1
1389,VB CD NNS,VB CD NNS,1
1388,VB CD NNS,CD CD NNS,1
1415,VB DT PRP$,VBG PDT PRP$,1
1417,VB DT RBS,VBN DT RBS,1
1385,VB . _,VBZ . _,1
1438,VB IN NNP,VBD IN NNP,1
1450,"VB JJ ,","VBG JJ ,",1
1449,VB IN WP,VBG IN WP,1
1448,VB IN WP,VB IN WP,1
1447,VB IN PRP$,WP MD VB,1
1445,VB IN PRP$,VBD IN PRP$,1
1443,VB IN PRP$,TO VB IN,1
1442,VB IN PRP$,PRP VBP IN,1
1441,VB IN PDT,VBN IN PDT,1
1440,VB IN PDT,VB IN PDT,1
1439,VB IN NNP,VBG IN NNP,1
1434,VB IN NN,TO VB NN,1
1418,VB DT VBD,PRP VBP DT,1
48,"CC NN ,","NN , NN",1
1430,VB IN DT,VBD IN DT,1
1429,VB IN DT,VB VBN IN,1
1428,VB IN DT,VB RP IN,1
1427,VB IN DT,VB JJR IN,1
1425,VB IN DT,VB DT NN,1
1422,VB IN DT,JJ IN DT,1
1421,VB IN DT,IN NN IN,1
1420,"VB IN ,","VB IN ,",1
1419,VB DT ``,VB DT ``,1
1387,VB CC TO,JJR CC TO,1
1383,VB . _,VB . _,1
1328,TO VB DT,VB TO VB,1
55,CC PRP VBD,DT CC PRP,1
1353,TO VB NNS,VBG NNS DT,1
1352,TO VB NNS,"VBG NNS ,",1
1351,TO VB NNS,", TO VB",1
1350,TO VB JJR,JJR CC RBR,1
1349,TO VB IN,VBP IN PRP,1
1348,TO VB IN,VBP IN DT,1
1347,TO VB IN,VBG IN PRP$,1
54,CC PRP VBD,CC PRP VBD,1
1344,TO VB IN,VBG IN CD,1
1343,TO VB IN,VB TO VB,1
1341,TO VB IN,TO VB TO,1
1355,TO VB RB,IN DT NN,1
1339,TO VB IN,IN PRP TO,1
1338,TO VB IN,IN PRP MD,1
1337,TO VB IN,IN PDT DT,1
1336,TO VB IN,IN IN TO,1
1335,TO VB IN,IN DT NN,1
1334,TO VB HYPH,VB HYPH NN,1
1333,TO VB DT,VBP DT NN,1
1332,TO VB DT,VBP DT JJ,1
1331,TO VB DT,VBG TO VB,1
56,CC PRP VBD,PRP CC PRP,1
1354,TO VB NNS,VBG TO VB,1
1356,TO VB RB,TO VB PRP$,1
1382,VB . _,JJ . _,1
1370,TO VB WRB,VB TO VB,1
1381,VB . UH,VB . UH,1
1380,VB . NNS,VB . NNS,1
1379,VB . IN,VB . IN,1
1378,"VB , DT","VBN IN ,",1
1377,"VB , .","TO VB ,",1
1376,"VB , .","RB , .",1
1375,UH RB RB,RB RB RB,1
1374,UH RB .,"PRP$ RB ,",1
1372,UH PRP VBD,WP PRP VBD,1
1371,UH IN PRP,JJ IN PRP,1
1369,TO VB WRB,IN WRB JJ,1
1357,TO VB RB,TO VB RB,1
1368,TO VB WDT,VB WDT MD,1
1367,TO VB VBZ,VBN VBZ RB,1
1366,TO VB VBP,VB TO VB,1
1365,TO VB VB,NN TO VB,1
1364,TO VB VB,DT NN TO,1
1363,TO VB TO,RB JJ TO,1
1362,TO VB RB,VBG RB RB,1
1360,TO VB RB,VBG RB CD,1
1359,TO VB RB,VB RB RB,1
1358,TO VB RB,VB RB CC,1
1392,VB DT NN,IN DT NN,1
1633,VBD VBN PRP$,VBD PRP$ JJ,1
1565,"VBD JJ ,","JJ , CC",1
14,", RB IN","TO VB ,",1
1915,VBP VBG DT,VBZ VBG DT,1
1914,VBP VBG DT,VBP VBG DT,1
1913,VBP VBG DT,VBP DT NN,1
1912,VBP VBG DT,MD VB VBG,1
1911,VBP VBG .,VBP VBG .,1
1910,VBP VBD IN,MD VB IN,1
1909,VBP TO VB,VBP VBG TO,1
12,", PRP VBD",IN DT NNS,1
1906,VBP TO VB,VBD VBN TO,1
13,", RB IN",IN DT NN,1
1904,VBP TO VB,RB VBP TO,1
1902,"VBP RP ,","VBP RP ,",1
1947,VBZ CC VB,NNS CC NN,1
1901,VBP RBR IN,VBZ JJR IN,1
1900,VBP RB VBP,RB VBP IN,1
1899,VBP RB VBP,MD RB VB,1
1898,VBP RB TO,VBG RB TO,1
1897,VBP RB TO,VBD RB TO,1
1896,VBP RB TO,", VB RB",1
1895,VBP RB NN,VBP IN DT,1
1892,VBP RB JJ,VBP RB :,1
1890,VBP RB JJ,RB RB VBP,1
1889,VBP RB JJ,MD VB RB,1
1888,VBP RB IN,VBG RB IN,1
1916,VBP VBG IN,VBD VBN VBG,1
1917,VBP VBG IN,VBP IN DT,1
1918,VBP VBG IN,VBP IN JJ,1
1919,VBP VBG IN,VBP IN RBS,1
1945,VBZ . UH,VBD . UH,1
1944,VBZ . TO,VBP . TO,1
1943,"VBZ , IN","PRP VBZ ,",1
1942,"VBZ , CC","VBD , CC",1
1941,"VBZ , CC","TO VB ,",1
1939,VBP VBP IN,WDT VBP IN,1
1938,VBP VBP IN,VBP IN JJS,1
1937,VBP VBN VBZ,VBD VBZ DT,1
1936,VBP VBN RB,VBD VBN RB,1
1935,VBP VBN RB,VBD RB JJ,1
1933,VBP VBN PRP$,TO VB VBN,1
1932,VBP VBN PRP$,PRP VBP VBN,1
1931,VBP VBN IN,VBP IN IN,1
1930,VBP VBN IN,VBD VBN IN,1
1929,VBP VBN IN,VBD IN PRP,1
1927,VBP VBN IN,TO VB VBN,1
1926,VBP VBN DT,VBZ VBN DT,1
1925,VBP VBN DT,VBD VBN DT,1
1924,VBP VBN DT,MD VB VBN,1
1923,VBP VBN CD,VBD CD NNS,1
1922,VBP VBG RB,VBP RB IN,1
1921,VBP VBG RB,RB RB VBP,1
1920,VBP VBG JJ,VBP VBN VBG,1
1887,VBP RB CC,VBZ RB CC,1
1886,VBP RB .,VBP . PRP,1
1885,VBP RB .,VBD RB .,1
1850,VBP NNP .,VBD NNP .,1
1848,VBP NN JJ,VBZ NN JJ,1
1847,VBP NN JJ,VBD NN JJ,1
1846,VBP NN IN,VBP VBN NN,1
1845,VBP NN IN,VBP PRP NN,1
1844,VBP NN IN,VBP IN DT,1
1843,VBP NN IN,VBD NN IN,1
1841,VBP MD VB,VBP MD VB,1
1839,VBP JJ RB,CC PRP$ NN,1
1838,VBP JJ IN,VBG JJ IN,1
1837,VBP JJ CC,VBD JJ CC,1
1836,VBP JJ .,VBZ JJ .,1
1835,VBP JJ .,VBP JJ .,1
1834,VBP JJ .,VBD JJ .,1
1833,"VBP JJ ,","VBZ JJ ,",1
1832,"VBP JJ ,",VBP VBN JJ,1
1831,VBP IN PRP$,"VBP RB ,",1
15,", RB PRP",", PRP VBD",1
1828,VBP IN NNS,VBP IN NNS,1
1827,VBP IN NNS,VBG IN NNS,1
1826,VBP IN NNS,VBD IN NNS,1
1825,VBP IN IN,VBP IN IN,1
1824,VBP DT VBP,WDT DT VBP,1
1823,VBP DT VBD,VBP DT VBD,1
1849,"VBP NNP ,","VBZ NNP ,",1
1851,VBP NNP IN,VBN NNP IN,1
1884,VBP RB .,MD VB RB,1
1852,VBP NNP WP,VBD NNP WP,1
1883,VBP PRP$ NNS,VBZ PRP$ NNS,1
1882,VBP PRP$ NNS,PRP VBP PRP$,1
1881,VBP PRP$ NNS,MD VB PRP$,1
1880,VBP PRP$ NN,VBZ PRP$ NN,1
1877,VBP PRP VBZ,VBP PRP VBZ,1
1874,VBP PRP VBP,PRP VBP PRP,1
1873,VBP PRP VBP,PRP VBP IN,1
1872,VBP PRP PRP,VBP PRP PRP,1
1871,VBP PRP PRP,VBD PRP PRP,1
1870,VBP PRP PRP,MD VB PRP,1
1868,VBP PRP DT,VBP VBG PRP,1
1867,VBP PRP DT,VBD PRP DT,1
1865,VBP PRP CC,VBP PRP CC,1
1864,VBP PRP CC,VBD PRP CC,1
1863,VBP PRP .,VBP VBN PRP,1
1862,VBP PRP .,VBP PRP .,1
1861,VBP PRP .,VBP IN PRP,1
1859,"VBP PRP ,","VBZ PRP ,",1
1858,"VBP PRP ,","VBP PRP ,",1
1856,"VBP PRP ,",", VB PRP",1
1855,VBP POS IN,NNS IN VBG,1
1854,VBP POS CD,VBZ CD NNS,1
1853,VBP NNS RB,NNS RB VBP,1
1946,VBZ : DT,VBZ : DT,1
1948,VBZ DT NN,DT NN PRP,1
1819,VBP DT NNS,EX VBP DT,1
2025,WDT NN PRP,WP NN PRP,1
2038,WP NNS RB,RB WP NNS,1
2037,WP IN PRP,", WP IN",1
2035,WDT VBZ JJ,WP VBZ JJ,1
2034,WDT VBZ JJ,", WDT VBZ",1
2033,WDT VBZ DT,WDT VBZ DT,1
4,", CC RB","PRP , CC",1
2031,WDT VBZ DT,", DT VBZ",1
2030,WDT VBP IN,WP VBP IN,1
2029,WDT VBP IN,DT VBP IN,1
2028,WDT VBD PRP$,WP VBD PRP$,1
2026,WDT VBD .,IN VBN .,1
2024,WDT NN PRP,DT NN PRP,1
11,", PRP VBD",. PRP VBD,1
5,", DT ,","PRP , DT",1
6,", DT .","IN , DT",1
2021,WDT NN IN,IN IN WDT,1
2020,WDT MD VB,WDT MD VB,1
2019,WDT MD VB,", WDT MD",1
2018,VBZ WRB JJ,VBP VBZ WRB,1
2017,VBZ WDT VBZ,VBD WDT VBZ,1
2016,VBZ VBN RB,VBP VBN RB,1
2015,VBZ VBN PRP$,VBP VBN PRP$,1
2013,VBZ VBN IN,PRP VBZ VBN,1
2012,VBZ VBN DT,VBP VBN DT,1
2039,WP VBD DT,", WP VBD",1
2040,WP VBD DT,NNS WP VBD,1
2041,WP VBD IN,WDT VBD IN,1
2042,WP VBZ PRP$,WP PRP$ NN,1
2066,_ _ _,PRP MD .,1
2065,_ _ _,: _ _,1
2,", : DT",IN DT NN,1
2063,_ _ _,", _ _",1
2062,XX VBG TO,PRP VBP VBG,1
2061,WRB VBD PRP$,IN PRP$ NN,1
2060,WRB TO VB,TO VB VBG,1
2059,WRB PRP$ NN,WP PRP$ NN,1
2058,WRB PRP$ NN,RB PRP$ NN,1
2057,WRB PRP VBZ,CC WRB PRP,1
2056,WRB PRP VBD,WRB PRP VBD,1
2055,WRB PRP VBD,WP PRP VBD,1
2054,WRB PRP VBD,VBG IN DT,1
2053,WRB PRP VBD,PRP WRB PRP,1
2052,WRB PRP VBD,IN WRB PRP,1
2051,WRB PRP VBD,IN WDT PRP,1
3,", CC IN","RB , CC",1
2049,WRB IN WDT,IN WDT PRP,1
2048,WRB IN DT,WP DT NNS,1
2047,WRB IN DT,VBD IN DT,1
2046,WRB DT NN,WP DT NN,1
2045,WRB DT NN,RB DT NN,1
2043,WRB . CC,. WRB .,1
2011,VBZ VBN DT,VBD DT JJ,1
2010,VBZ VBN DT,PRP VBZ VBN,1
2009,VBZ VBN DT,PRP VBD DT,1
1980,VBZ NN RB,NN VBZ RB,1
1978,VBZ NN JJ,PRP VBZ JJ,1
1977,VBZ NN IN,NN NN IN,1
1976,VBZ JJ TO,VBZ PRP TO,1
1975,VBZ JJ TO,VBD JJ TO,1
8,", IN DT",. IN DT,1
1973,VBZ JJ IN,VBD JJ IN,1
1971,VBZ JJ DT,. PRP VBZ,1
1970,VBZ JJ .,VBD JJ .,1
1969,VBZ JJ .,PRP VBZ JJ,1
1967,"VBZ JJ ,","VBG JJ ,",1
1966,"VBZ JJ ,",PRP VBZ JJ,1
1965,VBZ IN WP,VBG IN WP,1
1964,VBZ IN PRP$,VBZ VBG PRP,1
1963,VBZ IN PRP$,VBP IN PRP$,1
1962,VBZ IN NNP,PRP VBZ IN,1
1961,VBZ IN DT,VBZ VBG IN,1
1958,VBZ IN DT,VBD IN DT,1
1957,VBZ IN DT,VB IN DT,1
1955,VBZ FW .,", VBZ FW",1
1954,VBZ DT NNS,IN DT NNS,1
10,", NNS IN","VBD , NNS",1
1951,VBZ DT NN,VBG DT NN,1
1950,VBZ DT NN,PRP VBZ DT,1
1979,VBZ NN JJ,WDT VBZ NN,1
1981,VBZ PRP DT,VBZ PRP DT,1
2008,VBZ VBN DT,", VBZ VBN",1
1982,VBZ PRP IN,VBD PRP IN,1
2007,VBZ VBG IN,VBD VBG IN,1
2006,VBZ VBG DT,VBZ IN VBG,1
2005,VBZ VBG .,VBD JJ .,1
2004,VBZ TO VB,VBP TO VB,1
2003,VBZ TO VB,VBD TO VB,1
2002,VBZ TO VB,PRP VBZ TO,1
2001,VBZ TO DT,VBP TO DT,1
2000,"VBZ RP ,",VB HYPH RP,1
1999,VBZ RB TO,VBZ RB VB,1
1998,VBZ RB TO,PRP VBZ RB,1
7,", DT VBZ",", DT VBZ",1
1995,VBZ RB JJ,DT NN IN,1
1994,VBZ RB IN,VBZ RB IN,1
1993,VBZ RB IN,VBD RB IN,1
1992,VBZ RB IN,IN IN PRP,1
1991,VBZ RB DT,VBP RB DT,1
1989,VBZ RB DT,NNS PRP VBZ,1
1988,"VBZ RB ,","RB , UH",1
1987,VBZ PRP$ NN,VBZ PRP$ NN,1
1986,VBZ PRP$ NN,VBP PRP$ NN,1
1985,VBZ PRP$ NN,DT VBZ PRP$,1
1984,VBZ PRP VBZ,PRP VBZ .,1
1983,VBZ PRP NN,VBZ PRP NN,1
1822,VBP DT NNS,WDT VBP DT,1
1818,VBP DT NNS,DT NNS VBP,1
1567,"VBD JJ ,",VBD VBN JJ,1
1643,VBG -RRB- .,NN -RRB- .,1
1657,VBG DT NN,DT NN POS,1
33,. WP VBZ,IN DT NNS,1
1655,VBG DT IN,VBG DT IN,1
1653,VBG DT IN,IN VBG DT,1
1652,VBG CD NNS,WDT CD NNS,1
1649,VBG CC TO,VBG CC TO,1
1648,VBG CC TO,TO VB CC,1
1647,VBG CC IN,VBG RP CC,1
1646,VBG . _,VBG RP .,1
1645,VBG . _,NN . _,1
1644,VBG . _,JJ . _,1
1642,"VBG , NN","NN , NN",1
1692,VBG NN IN,IN VBG NN,1
1641,"VBG , IN","VBG , IN",1
1640,"VBG , DT","VBG , DT",1
1639,VBD VBN VBZ,VBD VBZ DT,1
1638,VBD VBN RB,VBP VBN RB,1
1637,VBD VBN RB,VBD RB WP,1
1636,VBD VBN RB,VBD RB .,1
1635,VBD VBN PRP$,VBP VBN PRP$,1
1634,VBD VBN PRP$,VBD VBN PRP$,1
1203,RB JJ .,MD VB RB,1
1632,VBD VBN NNS,VBP VBN NNS,1
1631,VBD VBN NN,VBD NN IN,1
1659,VBG DT NN,JJ DT NN,1
1660,VBG DT NN,NN VBG DT,1
32,. RB PRP,PRP VBP RB,1
31,. RB PRP,PRP MD RB,1
1690,VBG NN IN,. VBG NN,1
1689,VBG NN IN,", VBG NN",1
1688,VBG JJ CC,VBG JJ CC,1
1687,VBG IN WRB,NN IN WRB,1
1686,VBG IN WRB,", VBG IN",1
29,. RB PRP,JJ . RB,1
1684,VBG IN PRP$,TO VB IN,1
1683,VBG IN PRP$,IN PRP$ NN,1
1682,VBG IN PRP$,. _ _,1
1681,VBG IN PDT,", VBG IN",1
1680,VBG IN NNP,VBG IN NNP,1
1679,VBG IN NNP,TO VB IN,1
1678,VBG IN NNP,IN NNP .,1
1677,VBG IN NN,VBG VBN IN,1
1676,VBG IN NN,VBG NN PRP,1
1675,VBG IN NN,"VBG NN ,",1
30,. RB PRP,PRP . RB,1
1671,VBG IN CC,TO VB IN,1
1670,VBG DT NNS,VBP DT NNS,1
1669,VBG DT NNS,VBG DT NN,1
1668,VBG DT NNS,VB DT NNS,1
1667,VBG DT NNS,TO VB DT,1
1666,VBG DT NNS,IN VBG DT,1
1630,VBD VBN NN,VBD NN .,1
1629,VBD VBN NN,"VBD NN ,",1
1628,VBD VBN JJ,VBP VBN JJ,1
1594,"VBD RB ,","VBD RB ,",1
1592,VBD PRP$ NNS,PRP$ NNS VBD,1
1591,VBD PRP$ NN,VBZ PRP$ NN,1
1590,VBD PRP$ NN,VBP VBN PRP$,1
37,CC DT JJS,CC DT JJS,1
1588,VBD PRP$ NN,PRP VBD PRP$,1
1587,VBD PRP VBP,WRB PRP VBP,1
1586,VBD PRP VBP,VBP PRP VBP,1
1585,VBD PRP VBP,VBN PRP VBP,1
1584,VBD PRP VBP,RB PRP VBP,1
1582,VBD PRP DT,VBD DT NN,1
1581,VBD PRP CC,VBP PRP CC,1
1580,VBD PRP CC,VBD PRP CC,1
1579,VBD PRP CC,VB PRP CC,1
1578,"VBD PRP ,",VBD PRP VBG,1
1577,"VBD PRP ,","VBD PRP ,",1
1576,VBD POS NNS,NN POS NNS,1
1575,VBD NNP RB,VBD NNP RB,1
1574,VBD NN IN,VBP VBN NN,1
1573,VBD NN IN,VBD NN IN,1
1572,VBD NN IN,VB NN IN,1
1571,VBD JJ IN,VBP VBD JJ,1
1569,VBD JJ IN,PRP VBD JJ,1
1568,VBD JJ CD,VBD JJ CD,1
1593,VBD PRP$ NNS,VBP PRP$ NNS,1
1595,VBD RB .,VBD RB .,1
1627,VBD VBN JJ,VB VBN JJ,1
1596,VBD RB .,VBD VBN RB,1
1626,VBD VBN DT,VBP VBN DT,1
1625,VBD VBN DT,VBD DT NN,1
1624,VBD VBN DT,VB VBN DT,1
1620,VBD VBG IN,VBG IN DT,1
1619,VBD VBG IN,VBD VBG IN,1
1618,VBD VBG IN,VBD IN NNP,1
1617,VBD VBG IN,VBD IN DT,1
1616,VBD VBG DT,VBD RB VBG,1
1615,VBD VBG DT,VBD DT JJ,1
1614,VBD VBG CD,VBD CD HYPH,1
1613,VBD VBD IN,PRP VBD VBD,1
1612,VBD TO VB,WRB PRP VBD,1
1611,VBD TO VB,VBZ TO VB,1
34,: IN NN,", VBG NN",1
35,CC DT .,DT . DT,1
1605,VBD RB PRP$,VBD RB PRP$,1
1604,VBD RB PRP$,TO VB RB,1
1603,VBD RB IN,VBN RB IN,1
1602,VBD RB IN,VBD NNP RB,1
1601,VBD RB IN,MD VB VBN,1
1600,VBD RB DT,VBP RB DT,1
36,CC DT JJS,. CC DT,1
1597,VBD RB .,VBP RB .,1
1691,VBG NN IN,IN DT NN,1
28,. RB PRP,", RB PRP",1
1816,VBP DT NN,VBP RP DT,1
1773,VBN NN DT,VBN DT NN,1
1785,VBN PRP$ NN,VB PRP$ NN,1
1784,VBN PRP$ $,VB PRP$ $,1
1783,VBN PRP VBP,VBG PRP VBP,1
1782,VBN PRP DT,VBN PRP DT,1
1781,"VBN PRP ,","VB PRP ,",1
1780,VBN NNS IN,VBN NNS IN,1
1779,VBN NNS IN,VB NNS IN,1
1778,"VBN NNP ,","VBN NNP ,",1
1777,VBN NN IN,VBN VBG IN,1
1775,VBN NN IN,VBD NN IN,1
1774,VBN NN IN,NN IN DT,1
1772,VBN MD VB,VBN MD VB,1
1695,VBG NN JJ,TO VB NN,1
1771,VBN JJ IN,RB JJ IN,1
1770,VBN JJ .,VBD JJ .,1
1769,VBN IN PRP$,VBN RP IN,1
21,-LRB- NNP NNP,RB -LRB- NNP,1
1765,VBN IN NNP,VB IN NNP,1
22,"-LRB- NNS ,",NN -LRB- NNS,1
1763,VBN IN NN,"VBG NN ,",1
1762,VBN IN NN,", VBN IN",1
1761,VBN IN JJS,JJ IN JJS,1
1760,VBN DT VBN,VBN TO VB,1
1759,VBN DT NNS,VBN DT NNS,1
20,", VBZ IN","IN , VBZ",1
1788,VBN PRP$ NNS,VBN PRP TO,1
1789,VBN RB IN,VBN RB IN,1
1790,VBN RB JJ,RB VBN JJ,1
1815,VBP DT NN,VBP IN DT,1
17,", RB PRP","NN , RB",1
18,", VBD IN",", VBN IN",1
1812,VBP DT NN,VB DT NN,1
1811,VBP DT NN,PRP VBP DT,1
1810,VBP DT NN,MD VB DT,1
1809,VBP DT IN,VBP VBN DT,1
1808,VBP CD NNS,VBP CD NNS,1
1806,VBP CD CC,VBP CD CC,1
1805,VBP CC PRP,VBZ CC PRP,1
1804,VBP CC IN,VBN CC IN,1
1803,VBP . _,VBP . _,1
1801,VBP . IN,VBD . IN,1
1800,"VBP , IN","VBD , IN",1
1799,"VBP , CC","VBZ , CC",1
1798,VBN VBZ IN,VBN VBZ IN,1
1797,VBN VBN IN,VBN IN CD,1
1796,VBN VBG CC,VBN VBG CC,1
19,", VBG DT",PRP VBP TO,1
1794,VBN TO VB,NN TO VB,1
1793,VBN RB PRP,VBN RB PRP,1
1792,VBN RB JJ,VBN RB JJ,1
1791,VBN RB JJ,TO VB RB,1
1757,VBN DT NN,VBG DT NN,1
23,. CC IN,PRP VBP .,1
1755,VBN DT NN,TO VB DT,1
1725,VBG TO VB,PRP JJ TO,1
1722,VBG RP .,TO VB RP,1
1721,VBG RB WP,VBD RB WP,1
1720,VBG RB IN,VBG RB IN,1
1719,VBG RB IN,VBG RB .,1
1718,VBG RB IN,VB RB IN,1
1717,VBG RB IN,PRP VBP VBG,1
1716,VBG RB DT,VBG RB DT,1
1715,VBG RB DT,", VBG RB",1
26,. PRP VBZ,IN . PRP,1
27,. PRP VBZ,NN . PRP,1
1709,VBG PRP VBP,VBP VBG PRP,1
1708,VBG PRP VBP,PRP VBP VBN,1
1706,VBG PRP VBD,RB IN PRP,1
1705,VBG PRP VBD,JJ PRP VBD,1
1704,VBG PRP PRP$,VBG PRP$ NNS,1
1703,VBG PRP DT,IN VBG PRP,1
1702,VBG NNS RB,JJ NNS RB,1
1701,VBG NNS IN,VBG PRP NNS,1
1700,VBG NNS IN,VBG NNS IN,1
1699,VBG NNS IN,IN DT NN,1
1698,VBG NNS DT,VBG NNS DT,1
1697,VBG NN RB,VBP NN RB,1
1696,VBG NN RB,DT JJ NN,1
1723,VBG RP .,VBG RP .,1
25,. DT NN,NN . DT,1
1753,VBN DT IN,VBN CC IN,1
1727,VBG TO VB,VBP VBG TO,1
1752,VBN DT CC,DT NNS IN,1
1750,VBN CC IN,VBN DT IN,1
1749,VBN CC DT,VBN CC DT,1
1748,"VBN CC ,","JJ CC ,",1
24,. DT NN,CC DT .,1
1746,VBN . _,VB . _,1
1744,VBN . VBP,TO VB .,1
1743,"VBN , NNP","JJ , NNP",1
1742,"VBN , IN","VBN , IN",1
1741,"VBN , IN",TO VB VBN,1
1740,VBG VBN IN,VBG IN PRP$,1
1739,VBG VBN IN,TO VB VBN,1
1738,VBG VBN IN,", VBG VBN",1
1737,VBG VBN CC,VBP JJ CC,1
1736,VBG VBN CC,VBG VBN CC,1
1735,VBG VBG IN,VBG VBG IN,1
1734,VBG VBG IN,VBG IN DT,1
1733,VBG VBG IN,IN VBG VBG,1
1732,VBG VBG DT,VBN VBG DT,1
1731,"VBG VBG ,","VB VBG ,",1
1730,VBG VBD RB,VBG VBD RB,1
1729,VBG VBD JJ,NNS VBD JJ,1
1728,VBG TO VB,VBZ VBG TO,1
60,CC PRP$ NNS,TO VB CC,1
1108,PRP$ DT NN,DT NN CC,1
1202,RB JJ .,", RB JJ",1
494,"JJ NN ,",IN JJ NN,1
506,JJ NN DT,NN IN JJ,1
505,JJ NN DT,DT JJ NN,1
504,"JJ NN ,",PRP JJ NN,1
503,"JJ NN ,","NNS JJ ,",1
502,"JJ NN ,","NN NN ,",1
501,"JJ NN ,",NN HYPH NN,1
500,"JJ NN ,","NN , PRP",1
499,"JJ NN ,","NN , IN",1
498,"JJ NN ,","NN , .",1
497,"JJ NN ,","JJ NNS ,",1
120,DT NN CC,NN CC PRP,1
491,"JJ NN ,",", JJ NN",1
1201,RB JJ -RRB-,JJ -RRB- .,1
490,JJ JJ RB,RB JJ RB,1
489,JJ JJ IN,RB JJ IN,1
488,JJ JJ IN,JJ JJ IN,1
487,JJ JJ .,RB VBN .,1
486,JJ IN WRB,JJ IN WRB,1
485,JJ IN WP,JJ IN WP,1
482,JJ IN NN,RB IN NN,1
481,JJ IN NN,NNS IN NN,1
480,JJ IN NN,JJ IN NN,1
479,JJ IN NN,", VBN IN",1
477,JJ IN EX,JJ IN EX,1
508,JJ NN IN,DT NN IN,1
509,JJ NN IN,IN JJ NN,1
118,DT NN CC,NN CC JJ,1
512,JJ NN IN,JJR NN IN,1
541,JJ VBG DT,VB VBG DT,1
540,"JJ VBG ,","RB VBG ,",1
539,"JJ VBG ,","JJ VBG ,",1
538,JJ VBD IN,JJ VBD IN,1
537,JJ UH .,"UH . ,",1
536,JJ TO VB,VBZ JJ TO,1
535,JJ TO VB,VBN TO VB,1
534,JJ TO VB,VBG TO VB,1
533,JJ TO VB,RB TO VB,1
532,JJ TO VB,PRP JJ TO,1
529,JJ RB JJ,NNS RB JJ,1
528,JJ PRP$ NN,VBD PRP$ NN,1
527,JJ PRP$ NN,JJR PRP$ NN,1
525,JJ PRP VBD,JJ PRP VBD,1
523,JJ NNS IN,VBP JJ NNS,1
521,JJ NNS IN,JJ NNS IN,1
520,JJ NNP .,VBD NNP .,1
519,JJ NNP .,JJ NNP .,1
518,JJ NN IN,RP JJ NN,1
517,JJ NN IN,NNS VBP IN,1
515,JJ NN IN,NN IN NNP,1
514,JJ NN IN,NN IN NN,1
513,JJ NN IN,NN IN DT,1
475,JJ IN DT,RB IN DT,1
474,JJ IN DT,PRP VBZ JJ,1
122,DT NN CC,PRP$ NN CC,1
439,"JJ , IN","JJR , IN",1
437,"JJ , FW","JJ , FW",1
126,DT NN DT,PRP VBP DT,1
435,"JJ '' ,","JJ '' ,",1
434,IN WRB .,IN WRB RB,1
433,IN WP NN,IN WP NN,1
432,IN WDT VBZ,IN WDT VBZ,1
431,IN WDT NN,WP NN PRP,1
430,IN WDT NN,WDT NN DT,1
428,IN WDT NN,CC WP NN,1
427,IN WDT NN,CC IN WDT,1
426,IN VBZ IN,IN VBZ IN,1
425,IN VBG RB,IN VBG RB,1
424,IN VBG RB,EX VBG RB,1
423,IN VBG IN,VBG IN PRP$,1
422,IN VBG IN,VBG IN DT,1
421,IN VBG IN,RB IN VBG,1
127,DT NN JJ,NN JJ IN,1
419,IN VBD IN,EX VBD IN,1
418,IN VB DT,PRP MD VB,1
417,IN TO VB,TO VB VBN,1
415,IN TO VB,TO VB RP,1
414,IN TO VB,TO VB RB,1
128,DT NN JJ,RB DT NN,1
438,"JJ , IN","JJ , IN",1
440,"JJ , IN","RB , IN",1
472,JJ IN CD,JJ IN CD,1
441,"JJ , IN","VBN , IN",1
471,JJ IN CD,IN PRP$ NNS,1
470,JJ IN .,JJ IN .,1
469,JJ DT VBZ,NN WDT VBZ,1
468,JJ CC WRB,RB CC WRB,1
467,JJ CC RB,JJ CC RB,1
466,JJ CC DT,JJ CC DT,1
465,"JJ CC ,","RB CC ,",1
464,JJ . _,WDT MD VB,1
462,JJ . _,VB JJ .,1
461,JJ . _,RP . _,1
123,DT NN CC,RB DT NN,1
457,JJ . _,IN JJ .,1
456,JJ . RB,NN . RB,1
124,DT NN DT,CC VB DT,1
454,JJ . PRP$,NN . PRP$,1
452,JJ . NNP,RB . NNP,1
450,JJ . DT,RB . DT,1
448,JJ . CD,JJ . CD,1
446,JJ . .,JJ . .,1
445,"JJ , VBG","JJ , VBG",1
444,"JJ , VBG","DT , VBG",1
443,"JJ , RB","JJ , RB",1
442,"JJ , NNS","JJ , NNS",1
542,JJ VBG IN,VBG IN DT,1
543,JJ VBG IN,VBG RB IN,1
544,"JJ VBN ,","RB VBN ,",1
103,DT JJ NNS,IN DT JJ,1
634,NN . _,IN NN .,1
631,NN . _,", NN .",1
630,NN . IN,TO VB .,1
106,DT JJ NNS,JJ NNS CC,1
627,NN -RRB- .,DT NN -RRB-,1
626,"NN , _","RB , _",1
