,correct_trigram_tags,error_type,count
2016,VBZ VBN DT,AGV,1
2015,VBZ VBG TO,MV,1
2014,VBZ VBG PRP,AS,1
2013,VBZ VBG IN,TV,1
2012,VBZ VBG DT,AGV,1
2011,VBZ TO VB,TV,1
2010,VBZ RB VBN,W,1
2009,VBZ RB VB,X,1
2008,VBZ RB RB,W,1
2007,VBZ RB PRP,AGV,1
2006,VBZ RB JJ,R,1
2035,WDT VBD DT,S,1
2037,WDT VBP DT,MA,1
2038,WDT VBP IN,S,1
2056,WP PRP$ NN,R,1
2066,_ _ _,M,1
2065,WRB PRP VBP,SX,1
2064,WRB PRP VBP,MC,1
2063,WRB PRP VBD,MV,1
2062,WRB PRP VBD,M,1
2061,WRB DT NNS,SX,1
2060,WP VBZ JJ,RA,1
2059,WP VBP IN,RA,1
2058,WP VBD PRP$,RA,1
2057,WP PRP$ NN,UV,1
2054,WP PRP VBD,S,1
2041,WDT VBZ IN,RA,1
2053,WP PRP VBD,R,1
2052,WP NN PRP,UT,1
2051,WP NN PRP,RQ,1
2050,WP NN IN,UA,1
2048,WP MD VB,RA,1
2047,WP MD VB,M,1
2046,WP DT NNS,AS,1
2045,WP DT NN,R,1
2044,WDT VBZ VBG,RA,1
2043,WDT VBZ NN,MA,1
2005,VBZ RB JJ,MV,1
2003,VBZ RB IN,RV,1
2002,VBZ RB IN,AGV,1
1960,VBP VBN RB,AGV,1
1970,VBZ CD NNS,UP,1
1969,VBZ CD IN,UA,1
1968,VBZ CC PRP,AGV,1
1967,VBZ : DT,RV,1
1966,VBZ . _,AGV,1
1965,"VBZ , CC",AGV,1
1964,VBP VBZ WRB,MN,1
1963,"VBP VBZ ,",UY,1
1962,VBP VBN VBG,TV,1
1961,VBP VBN RB,TV,1
1959,VBP VBN PRP$,W,1
1976,VBZ IN DT,M,1
1957,VBP VBN PRP$,AGV,1
1955,VBP VBN NNS,TV,1
1949,VBP VBN DT,AGV,1
1948,VBP VBN CC,TV,1
1947,VBP VBN .,R,1
1946,VBP VBG TO,TV,1
1945,VBP VBG TO,MV,1
1944,VBP VBG PRP,TV,1
1943,VBP VBG PRP,MV,1
1941,VBP VBG DT,RV,1
1974,VBZ DT NN,UA,1
1977,VBZ IN DT,RV,1
2001,VBZ RB CC,AGV,1
1990,"VBZ PRP ,",AGV,1
2000,VBZ PRP$ NNS,AGV,1
1999,VBZ PRP$ NN,TV,1
1998,VBZ PRP$ NN,IV,1
1997,VBZ PRP$ NN,AGV,1
1996,VBZ PRP TO,R,1
1995,VBZ PRP RB,AGV,1
1994,VBZ PRP NN,RV,1
1993,VBZ PRP NN,AGV,1
1992,VBZ PRP JJ,UA,1
1991,VBZ PRP DT,S,1
1989,VBZ PDT PRP$,AGV,1
1978,VBZ IN IN,MV,1
1988,"VBZ NNP ,",AGV,1
1987,VBZ NN JJ,AGV,1
1986,"VBZ NN ,",W,1
1985,VBZ JJR IN,AGV,1
1984,VBZ JJ TO,MV,1
1983,VBZ JJ .,AGV,1
1982,"VBZ JJ ,",AGV,1
1981,VBZ IN VBG,RV,1
1980,VBZ IN PRP,IN,1
1979,VBZ IN NN,R,1
1806,"VBN IN ,",UY,1
1804,VBN DT RBS,TV,1
1528,VB RP DT,R,1
1660,VBD VBG IN,TV,1
1623,VBD PRP DT,TV,1
1622,VBD PRP DT,S,1
1621,VBD PRP DT,RV,1
1620,VBD PRP DT,IV,1
1618,VBD PRP CC,S,1
1615,"VBD PRP ,",RV,1
1614,VBD NNP WP,TV,1
1613,VBD NNP RB,TV,1
1612,VBD NNP RB,AS,1
1611,VBD NNP NNP,RV,1
1610,VBD NNP .,TV,1
1609,VBD NNP .,IV,1
1608,VBD NN JJ,TV,1
1607,VBD NN IN,UV,1
1604,VBD NN .,UV,1
1603,"VBD NN ,",TV,1
1602,VBD JJ TO,TV,1
1601,VBD JJ IN,TV,1
1599,VBD JJ CD,S,1
1598,VBD JJ CC,TV,1
1596,VBD JJ .,S,1
1595,VBD JJ .,RV,1
1594,"VBD JJ ,",S,1
1624,VBD PRP IN,TV,1
1625,VBD PRP PRP,TV,1
1626,VBD PRP VBG,ID,1
1645,VBD RB VBN,RV,1
1658,VBD VBG DT,RV,1
1657,VBD VB DT,TV,1
1655,VBD TO VB,S,1
1653,VBD TO VB,IV,1
1652,VBD TO VB,AGV,1
1651,VBD RBS CC,UY,1
1198,"RB , IN",DY,1
1649,VBD RB WP,UD,1
1648,VBD RB WP,TV,1
1647,VBD RB VBN,W,1
1644,VBD RB VBG,S,1
1627,VBD PRP$ JJ,TV,1
1642,VBD RB TO,TV,1
1641,VBD RB RB,AS,1
1640,VBD RB PRP$,AGV,1
1638,VBD RB IN,TV,1
1637,VBD RB DT,RV,1
1634,VBD RB .,MP,1
1633,"VBD RB ,",RV,1
1632,VBD PRP$ NNS,IV,1
1630,VBD PRP$ NN,SX,1
1628,VBD PRP$ NN,RV,1
1593,"VBD JJ ,",RV,1
1591,VBD IN PRP$,S,1
1589,VBD IN PRP,TV,1
1544,VB VBG RB,RV,1
1554,"VBD , IN",IV,1
1553,"VBD , CC",TV,1
1552,VB WDT MD,FV,1
1551,VB VBZ NN,RV,1
1550,VB VBN RB,R,1
1549,VB VBN PRP$,TV,1
1548,VB VBN JJ,FV,1
1547,VB VBN IN,RV,1
1546,VB VBN DT,RV,1
1545,VB VBN DT,FV,1
1543,VB VBG IN,S,1
1556,"VBD , NNS",MV,1
1542,VB VBG DT,SX,1
1541,"VB VBG ,",FV,1
1540,VB VB DT,R,1
1539,VB TO VB,TV,1
1536,VB TO VB,RP,1
1533,VB TO VB,DV,1
1532,VB RP WP,RV,1
1531,VB RP PRP,R,1
1530,VB RP IN,RV,1
1529,VB RP DT,RV,1
1555,"VBD , IN",TV,1
1557,VBD . CC,RV,1
1588,VBD IN NNS,TV,1
1573,VBD DT NN,SX,1
1587,VBD IN NNS,RV,1
1585,VBD IN NNP,RV,1
1584,VBD IN NN,TV,1
1583,VBD IN DT,UA,1
1581,VBD IN DT,SX,1
1580,VBD IN CD,UQ,1
1578,VBD DT NNS,SX,1
1577,VBD DT NNS,AGV,1
1576,VBD DT NNP,TV,1
1575,VBD DT NN,UA,1
1571,VBD DT NN,IV,1
1558,VBD . IN,TV,1
1570,VBD DT NN,AS,1
1569,VBD DT NN,AGV,1
1567,VBD DT JJ,RV,1
1565,VBD CD NNS,RV,1
1564,VBD CD HYPH,TV,1
1563,VBD CC PRP,TV,1
1562,VBD CC IN,RV,1
1561,VBD . _,TV,1
1560,VBD . _,RV,1
1559,VBD . UH,TV,1
1659,VBD VBG IN,S,1
1662,VBD VBN .,TV,1
1803,VBN DT NNS,TV,1
1664,VBD VBN DT,TV,1
1767,VBG RB JJ,MV,1
1766,VBG RB IN,W,1
1765,VBG RB IN,UY,1
1764,VBG RB IN,S,1
1762,VBG RB DT,RV,1
1761,VBG RB CD,FV,1
1760,VBG RB .,RV,1
1759,VBG PRP$ NNS,S,1
1757,VBG PRP$ NNS,RT,1
1756,VBG PRP$ NNS,AS,1
1755,VBG PRP$ NN,RV,1
1754,VBG PRP$ NN,MT,1
1751,VBG PRP VBP,UT,1
1750,VBG PRP VBP,U,1
1749,VBG PRP VBP,IJ,1
1748,VBG PRP VBP,FV,1
1746,VBG PRP NNS,AS,1
1744,VBG PRP DT,S,1
1743,VBG PDT PRP$,FV,1
1741,VBG NNS PRP,UA,1
1740,VBG NNS IN,FV,1
1739,VBG NNS IN,DV,1
1738,VBG NNS DT,RV,1
1768,VBG RB RB,R,1
1769,VBG RB TO,FV,1
1770,VBG RP .,DV,1
1787,"VBN , RB",S,1
1802,VBN DT NNS,IV,1
1800,VBN DT NN,IV,1
1798,VBN DT IN,IV,1
1796,VBN CC IN,RV,1
1795,VBN CC IN,DJ,1
1794,VBN CC DT,RV,1
1792,VBN . _,S,1
1790,VBN . _,RJ,1
1789,VBN . _,R,1
1788,VBN . '',UA,1
1786,"VBN , IN",S,1
1771,VBG RP .,RV,1
1785,"VBN , IN",RJ,1
1784,"VBN , CC",R,1
1783,VBG WP VBD,FV,1
1782,VBG VBN IN,RV,1
1781,VBG VBN CC,RV,1
1780,VBG VBG IN,SX,1
1779,VBG VBD RB,S,1
1778,VBG VB PRP$,TV,1
1776,VBG TO VB,RV,1
1772,VBG RP CC,RV,1
1737,VBG NNS DT,FV,1
1736,"VBG NNS ,",FV,1
1735,"VBG NNS ,",DN,1
1679,VBG . DT,FV,1
1697,VBG IN CD,FV,1
1696,VBG DT NNS,RT,1
1695,VBG DT NNS,R,1
1694,VBG DT NNS,FV,1
1689,VBG DT NN,ID,1
1686,VBG DT IN,RV,1
1685,VBG DT CD,RT,1
1684,VBG CD NNS,RV,1
1683,VBG CD NNS,IV,1
1681,VBG CC TO,IV,1
1678,"VBG , IN",SX,1
1700,VBG IN DT,U,1
1677,"VBG , DT",RV,1
1676,VBD WRB CD,U,1
1675,VBD WDT VBZ,TV,1
1674,VBD VBZ DT,UV,1
1673,VBD VBZ DT,TV,1
1672,VBD VBN VBG,TV,1
1670,VBD VBN TO,RV,1
1668,VBD VBN PRP$,RV,1
1667,VBD VBN JJ,TV,1
1665,VBD VBN IN,RV,1
1699,VBG IN DT,MV,1
1705,VBG IN NN,RV,1
1734,VBG NN PRP,RT,1
1722,VBG JJ IN,FV,1
1733,VBG NN PRP,R,1
1732,VBG NN IN,TV,1
1731,VBG NN IN,SX,1
1730,VBG NN IN,S,1
1728,VBG NN IN,MT,1
1727,VBG NN IN,FV,1
1726,"VBG NN ,",RT,1
1725,"VBG NN ,",R,1
1724,VBG JJ RB,FV,1
1723,VBG JJ NNS,R,1
1721,VBG JJ CC,RV,1
1706,VBG IN NN,S,1
1718,VBG IN PRP$,W,1
1717,VBG IN PRP$,UT,1
1716,VBG IN PRP$,TV,1
1715,VBG IN PRP$,S,1
1713,VBG IN PRP$,RT,1
1712,VBG IN PRP$,MV,1
1710,VBG IN NNS,FV,1
1709,VBG IN NNP,UY,1
1708,VBG IN NNP,IV,1
1707,VBG IN NNP,FV,1
1199,"RB , IN",FJ,1
1034,"PRP , DT",MA,1
1197,"RB , DT",RY,1
427,IN PRP$ NN,U,1
440,"IN UH ,",R,1
439,IN TO VB,R,1
438,IN TO VB,MT,1
437,IN RB VBG,MT,1
436,IN RB PRP,U,1
435,IN RB IN,RP,1
434,IN RB DT,W,1
433,IN RB $,W,1
430,IN PRP$ NNS,M,1
429,IN PRP$ NNS,ID,1
428,IN PRP$ NNP,RT,1
421,IN PRP WRB,MT,1
477,"JJ , VBG",DJ,1
420,IN PRP VBZ,SX,1
418,IN PRP VBZ,RT,1
417,IN PRP VBZ,MT,1
416,IN PRP VBP,ID,1
415,IN PRP VBG,MT,1
414,IN PRP VBD,M,1
413,IN PRP TO,W,1
411,IN PRP RB,MT,1
410,IN PRP PRP$,MT,1
409,IN PRP MD,R,1
407,IN PRP MD,M,1
441,IN VBG .,MC,1
446,IN VBG PDT,R,1
447,IN VBG PRP,MT,1
448,IN VBG PRP,W,1
475,"JJ , PRP",UA,1
474,"JJ , NNS",RJ,1
473,"JJ , NNP",RJ,1
472,"JJ , IN",S,1
471,"JJ , FW",RJ,1
468,"JJ , CC",X,1
467,"JJ , CC",UV,1
466,"JJ '' ,",S,1
465,IN WRB RB,R,1
464,IN WRB PRP,MT,1
463,IN WRB JJ,R,1
462,IN WP NN,RT,1
461,IN WDT VBZ,RT,1
460,IN WDT PRP,UY,1
459,IN WDT PRP,R,1
458,IN WDT PRP,M,1
456,IN VBZ NN,R,1
455,IN VBZ IN,RT,1
454,IN VBZ DT,SX,1
453,IN VBZ DT,ID,1
452,IN VBN .,SX,1
451,IN VBG VBG,MC,1
450,IN VBG RB,RT,1
406,IN PRP IN,M,1
400,IN PDT DT,UV,1
399,IN PDT DT,MT,1
360,IN IN PRP,R,1
358,IN IN NN,R,1
357,IN IN DT,UY,1
356,IN IN DT,S,1
355,IN IN DT,RY,1
353,IN IN DT,R,1
352,IN IN DT,MY,1
351,IN EX VBZ,R,1
350,IN DT ``,RT,1
348,IN DT RBS,RT,1
347,IN DT PRP,RT,1
346,IN DT NNS,W,1
345,IN DT NNS,SX,1
343,IN DT NNS,RP,1
340,IN DT NNS,ID,1
339,IN DT NNP,UN,1
336,IN DT NN,UY,1
334,IN DT NN,UN,1
333,IN DT NN,U,1
332,IN DT NN,SX,1
321,IN DT JJ,MT,1
320,IN DT JJ,MC,1
317,IN DT IN,R,1
316,IN DT CD,RT,1
359,IN IN PDT,R,1
361,IN IN PRP$,MT,1
398,IN NNS IN,S,1
362,IN IN TO,M,1
397,IN NNP VBP,RT,1
396,IN NNP VBG,MT,1
395,IN NNP RB,RT,1
393,IN NNP PRP,RD,1
389,IN NNP CC,UN,1
388,IN NNP CC,RT,1
387,IN NNP .,UV,1
385,"IN NNP ,",MT,1
384,IN NN _,RT,1
383,IN NN WP,RT,1
381,IN NN PRP,RT,1
380,IN NN JJ,RT,1
379,IN NN IN,U,1
377,IN NN IN,RP,1
374,IN NN IN,DT,1
372,IN NN CC,R,1
371,IN NN .,R,1
370,IN NN .,MT,1
369,"IN NN ,",MT,1
368,IN JJ NNP,ID,1
365,IN JJ HYPH,S,1
364,IN JJ .,MT,1
363,IN IN WDT,MT,1
476,"JJ , RB",RJ,1
478,JJ -RRB- .,UY,1
312,"IN DT ,",DY,1
567,JJ NNS .,IJ,1
582,JJ PRP VBD,SX,1
581,JJ PRP VBD,S,1
580,JJ PRP VBD,RJ,1
579,JJ NNS VBZ,UD,1
578,JJ NNS RB,IJ,1
577,JJ NNS RB,FV,1
575,JJ NNS IN,S,1
574,JJ NNS IN,RJ,1
573,JJ NNS IN,IQ,1
571,JJ NNS CC,UD,1
569,JJ NNS .,S,1
565,"JJ NNS ,",ID,1
479,JJ . .,S,1
564,JJ NNP IN,R,1
563,JJ NNP .,RP,1
562,JJ NN _,DJ,1
561,JJ NN VBZ,R,1
560,JJ NN RB,SX,1
559,JJ NN RB,DJ,1
558,JJ NN PRP,SX,1
557,JJ NN PRP,RJ,1
556,JJ NN IN,UT,1
553,JJ NN IN,RP,1
551,JJ NN IN,R,1
583,JJ PRP VBP,UY,1
584,JJ RB JJ,IQ,1
586,JJ TO VB,MY,1
589,JJ VBD IN,RJ,1
616,MD VB DT,M,1
615,MD VB .,TV,1
613,MD RB VB,S,1
612,MD RB VB,RV,1
609,MD PRP RB,M,1
608,MD DT VB,W,1
607,MD CC VB,MV,1
606,JJS IN PRP,FJ,1
605,JJS IN DT,SX,1
604,JJR PRP$ NN,FJ,1
603,JJR NN IN,FJ,1
602,JJR IN DT,ID,1
601,JJR CC TO,FJ,1
600,JJR CC RBR,UV,1
599,JJR . _,DJ,1
598,JJR . JJ,RJ,1
597,"JJR , NNS",FJ,1
596,"JJR , IN",RJ,1
595,"JJR , IN",FJ,1
594,"JJR , CC",IJ,1
592,JJ WRB PRP,DJ,1
591,"JJ VBG ,",S,1
590,JJ VBD IN,S,1
550,JJ NN IN,MP,1
548,JJ NN DT,RP,1
547,JJ NN .,W,1
511,JJ HYPH NN,RN,1
508,JJ DT NN,S,1
507,JJ DT NN,RT,1
506,JJ CD CC,UD,1
505,JJ CC RB,ID,1
504,JJ CC NNS,UV,1
503,JJ CC IN,S,1
502,JJ CC DT,RJ,1
501,JJ CC DT,IJ,1
500,"JJ CC ,",DJ,1
499,JJ . _,SA,1
497,JJ . _,RY,1
496,JJ . _,RP,1
494,JJ . _,FV,1
491,JJ . RB,RJ,1
490,JJ . RB,MJ,1
489,JJ . RB,DJ,1
488,JJ . NNS,S,1
487,JJ . NNS,RJ,1
485,JJ . IN,RJ,1
484,JJ . DT,S,1
483,JJ . DT,RJ,1
482,JJ . CD,S,1
480,JJ . CC,RJ,1
509,JJ HYPH JJ,MP,1
512,JJ IN .,RJ,1
546,JJ NN .,UT,1
513,JJ IN .,S,1
544,JJ NN .,DJ,1
542,"JJ NN ,",RP,1
540,"JJ NN ,",R,1
539,"JJ NN ,",CQ,1
538,JJ JJ NN,MY,1
537,JJ JJ NN,MV,1
536,JJ JJ IN,S,1
535,JJ IN WRB,DJ,1
534,JJ IN WP,S,1
533,JJ IN RB,DJ,1
532,JJ IN PRP$,UV,1
531,JJ IN PRP,DJ,1
529,JJ IN NNS,RJ,1
527,JJ IN NN,DJ,1
526,JJ IN JJS,DJ,1
525,JJ IN IN,RJ,1
523,JJ IN FW,S,1
522,JJ IN EX,RJ,1
521,JJ IN DT,SX,1
519,JJ IN DT,RV,1
518,JJ IN DT,RP,1
516,JJ IN DT,FJ,1
514,JJ IN CD,S,1
315,IN DT CD,ID,1
311,IN CD PRP,RT,1
1196,"RB , DT",R,1
110,CC JJ .,R,1
124,CC PRP$ NN,R,1
123,CC PRP VBZ,RP,1
122,CC PRP VBD,UT,1
119,CC PRP MD,MC,1
118,"CC NNS ,",MC,1
117,CC NNP .,RC,1
116,CC NN RB,UY,1
115,CC NN RB,RT,1
113,CC JJ NN,RC,1
112,CC JJ IN,SX,1
111,CC JJ IN,RC,1
109,CC IN WDT,MC,1
156,DT IN DT,R,1
108,CC IN IN,UY,1
107,CC IN DT,SX,1
104,CC DT NN,W,1
103,CC DT NN,RC,1
102,CC DT NN,R,1
101,CC DT NN,ID,1
100,CC DT JJS,RP,1
99,CC DT .,UC,1
98,"CC , IN",R,1
96,: _ _,MP,1
95,: PRP MD,MP,1
125,CC PRP$ NNS,RC,1
126,CC RB IN,RP,1
127,CC RB IN,SX,1
128,CC RB NN,R,1
153,DT CC PRP,MA,1
151,DT . DT,UN,1
150,DT . DT,MP,1
149,"DT , VBG",FA,1
148,"DT , IN",SX,1
147,CD NNS POS,UT,1
145,CD NNS IN,UD,1
144,CD NN PRP,R,1
143,CD NN NN,FJ,1
142,CD NN JJ,IJ,1
141,CD IN NNS,S,1
140,CD HYPH NN,RP,1
139,CD HYPH NN,R,1
138,CD CD NNS,S,1
137,CD CC CD,W,1
136,CD CC CD,UA,1
135,CC WRB PRP,MC,1
134,CC WP NN,SX,1
133,CC VB PRP,MC,1
132,CC VB DT,R,1
131,CC TO VB,UA,1
130,CC RB PRP,RC,1
129,CC RB PRP,R,1
93,. _ _,UT,1
88,. WRB .,MP,1
87,. VBP PRP,UT,1
48,", VB RB",MP,1
44,", TO VB",MP,1
43,", RB VBD",UT,1
41,", RB PRP",RP,1
40,", RB PRP",MP,1
39,", RB NN",MP,1
38,", RB JJ",MP,1
37,", RB IN",MP,1
36,", RB DT",MP,1
35,", RB CC",MP,1
32,", PRP$ JJ",MP,1
29,", PRP VBD",W,1
26,", NNP VBD",MP,1
24,", NN IN",MP,1
23,", NN .",MP,1
22,", JJ NN",MP,1
20,", IN PRP",UN,1
16,", IN IN",MP,1
13,", IN ,",MP,1
12,", DT VBZ",UY,1
11,", DT VBZ",RA,1
9,", CD NNS",MP,1
7,", CC TO",MP,1
4,", CC IN",MP,1
46,", VB JJ",MP,1
51,", VBG NN",MP,1
86,. VBG NN,MP,1
52,", VBG NN",RT,1
84,. RB PRP,MP,1
83,". RB ,",U,1
82,. PRP VBZ,MP,1
81,. PRP VBZ,M,1
80,. PRP VBP,U,1
79,. PRP VBP,MP,1
78,. PRP VBD,RP,1
76,. PRP MD,MP,1
74,. IN NN,MP,1
73,. IN DT,UT,1
72,. IN DT,RP,1
71,. EX VBD,MP,1
70,. DT VBZ,MP,1
69,. CC RB,MP,1
68,. CC DT,MP,1
67,", _ _",MP,1
65,", WP VBD",MP,1
64,", WP IN",MP,1
59,", VBZ VBN",MP,1
58,", VBZ FW",MP,1
56,", VBN IN",DJ,1
55,", VBG VBN",MP,1
53,", VBG RB",MP,1
155,DT CD NNS,MD,1
157,DT IN DT,RA,1
310,IN CD NNS,SX,1
264,DT NNS VBP,W,1
277,DT VBZ IN,RA,1
276,DT VBZ DT,UT,1
274,DT VBZ .,RA,1
273,DT VBP PDT,AGA,1
272,DT VBP IN,RA,1
271,DT VBD DT,RA,1
270,DT VB IN,RA,1
269,"DT VB ,",RA,1
268,DT RB TO,MA,1
267,DT NNS WP,UT,1
266,DT NNS VBZ,UT,1
263,DT NNS VBP,MD,1
158,DT IN DT,RP,1
262,DT NNS VBD,MD,1
261,DT NNS TO,R,1
260,DT NNS TO,MQ,1
259,DT NNS PRP,UT,1
258,DT NNS NNS,UY,1
257,DT NNS NN,ID,1
256,DT NNS MD,M,1
255,DT NNS JJ,X,1
251,DT NNS IN,RD,1
248,DT NNS DT,UT,1
247,DT NNS CC,UT,1
278,DT VBZ NN,RA,1
279,DT VBZ PRP$,MA,1
280,DT VBZ PRP$,RA,1
281,DT VBZ PRP$,S,1
307,IN CD NNP,MT,1
306,IN CD NN,MT,1
304,IN CC WP,MT,1
303,IN CC RB,MT,1
302,IN . RB,RT,1
301,IN . PRP,MT,1
300,"IN , VBZ",MT,1
298,"IN , DT",MT,1
297,HYPH RB .,MP,1
296,HYPH . IN,UN,1
295,EX VBZ DT,RA,1
294,EX VBP NNS,M,1
293,EX VBP DT,W,1
292,EX VBP DT,MA,1
291,EX VBG RB,R,1
290,EX VBD IN,R,1
288,EX VBD DT,MA,1
287,EX VBD DT,AS,1
286,EX MD VB,SX,1
285,EX MD VB,RA,1
284,EX MD VB,MY,1
283,EX MD VB,MA,1
282,DT WP VBD,UT,1
246,DT NNS CC,UA,1
244,"DT NNS ,",MD,1
242,DT NNP RB,R,1
204,DT NN IN,UC,1
197,DT NN IN,M,1
196,DT NN IN,ID,1
195,DT NN DT,W,1
194,DT NN DT,RD,1
191,DT NN CC,UC,1
188,DT NN CC,MQ,1
187,DT NN CC,MD,1
186,DT NN :,UT,1
185,DT NN :,R,1
183,DT NN .,RD,1
181,DT NN .,MQ,1
179,DT NN -RRB-,MQ,1
177,"DT NN ,",UQ,1
176,"DT NN ,",U,1
175,"DT NN ,",RP,1
174,"DT NN ,",R,1
169,DT JJ NNS,W,1
167,DT JJ NNS,R,1
166,DT JJ NNS,AGD,1
165,DT JJ NN,W,1
164,DT JJ NN,UV,1
160,DT JJ NN,ID,1
159,DT IN PRP$,UT,1
202,DT NN IN,S,1
205,DT NN IN,UD,1
241,DT NNP RB,MD,1
207,DT NN IN,UV,1
239,DT NNP .,MD,1
238,"DT NNP ,",R,1
237,"DT NNP ,",MD,1
236,"DT NNP ,",FD,1
235,DT NN WRB,UT,1
234,DT NN WDT,UT,1
231,DT NN VBZ,AGN,1
229,DT NN VBD,R,1
227,DT NN TO,R,1
224,DT NN TO,M,1
223,DT NN RB,W,1
222,DT NN PRP,W,1
220,DT NN PRP,S,1
219,DT NN PRP,RP,1
218,DT NN PRP,R,1
217,DT NN PRP,MD,1
216,DT NN PRP,AS,1
215,DT NN POS,UV,1
214,DT NN NNP,MD,1
213,DT NN NN,UT,1
211,DT NN MD,RA,1
210,DT NN MD,MD,1
209,DT NN JJ,S,1
617,MD VB DT,MV,1
620,MD VB IN,RP,1
622,MD VB IN,S,1
1009,NNS VBD JJ,DN,1
1021,NNS VBZ DT,AGN,1
1020,NNS VBP VBN,U,1
1019,NNS VBP VBG,U,1
1017,NNS VBP IN,R,1
1016,NNS VBP DT,RN,1
1015,NNS VBP CC,AGN,1
1014,NNS VBP .,U,1
1013,NNS VBG NNS,RN,1
1012,NNS VBG DT,S,1
1011,NNS VBD TO,RN,1
1010,NNS VBD TO,AGN,1
1008,NNS VBD JJ,AGN,1
1062,PRP NN IN,MA,1
1007,NNS VBD IN,S,1
1006,NNS VBD DT,RN,1
1005,NNS TO VB,S,1
1004,NNS TO VB,FN,1
1003,NNS RB VBP,UV,1
1002,NNS RB PRP,AGN,1
1001,NNS RB PDT,UD,1
1000,NNS RB JJ,AGN,1
999,"NNS RB ,",UD,1
998,NNS PRP VBZ,M,1
997,NNS PRP VBP,S,1
1022,NNS VBZ JJ,S,1
1025,NNS WDT PRP,MD,1
1026,NNS WDT PRP,RN,1
1027,NNS WDT PRP,S,1
1060,PRP MD VB,U,1
1057,PRP MD VB,R,1
1054,PRP MD VB,AGA,1
1053,PRP MD RB,W,1
1052,PRP MD .,M,1
1050,PRP JJ NN,MQ,1
1048,PRP IN PRP$,M,1
1047,PRP IN PRP,R,1
1046,PRP IN PRP,MA,1
1045,PRP IN NNP,AGA,1
1044,PRP IN DT,SX,1
1043,PRP IN DT,RA,1
1041,PRP DT VBD,R,1
1039,PRP CC PRP,UT,1
1038,PRP CC PRP,MA,1
1036,PRP . RB,MA,1
1035,PRP . DT,UT,1
1033,"PRP , CC",MA,1
1032,"PRP , .",UT,1
1031,PDT DT NNS,W,1
1030,NNS WRB RB,R,1
1029,NNS WP VBD,MA,1
1028,NNS WDT VBP,AGN,1
996,NNS PRP VBP,DN,1
995,NNS POS RB,MP,1
993,NNS PDT DT,MN,1
959,NNS CC TO,RN,1
957,NNS CC NN,SX,1
956,NNS CC IN,SA,1
955,NNS CC DT,S,1
954,NNS CC DT,FN,1
952,NNS . _,UQ,1
950,NNS . _,RN,1
948,NNS . _,DN,1
946,NNS . IN,RN,1
945,"NNS , RB",S,1
944,"NNS , RB",RP,1
943,"NNS , RB",RN,1
942,"NNS , RB",IN,1
940,"NNS , RB",AGN,1
938,"NNS , NNP",S,1
937,"NNS , NN",UP,1
934,"NNS , DT",S,1
933,"NNS , DT",L,1
932,"NNS , DT",IN,1
930,"NNS , CC",U,1
929,"NNS , .",S,1
928,NNP VBZ PRP$,RP,1
926,NNP RB RB,W,1
925,NNP RB PRP,RP,1
958,NNS CC NNS,FN,1
960,NNS CC VB,MN,1
992,NNS NNS DT,DJ,1
961,NNS DT NN,UT,1
991,NNS NNP VBZ,W,1
990,NNS NN IN,FN,1
988,NNS JJR .,AGN,1
987,NNS JJ JJ,S,1
986,NNS JJ IN,AGN,1
985,NNS JJ CC,S,1
984,NNS JJ .,AGN,1
983,"NNS JJ ,",ID,1
982,NNS IN ``,AGN,1
981,NNS IN WP,RN,1
980,NNS IN VBG,UP,1
979,NNS IN VBD,RN,1
978,NNS IN NNS,W,1
977,NNS IN NNS,S,1
976,NNS IN NNS,IN,1
972,NNS IN NNP,R,1
971,NNS IN NNP,AGN,1
969,NNS IN NN,RN,1
968,NNS IN NN,IQ,1
967,NNS IN NN,FN,1
966,NNS IN DT,S,1
965,NNS IN DT,M,1
964,NNS IN DT,L,1
1061,PRP MD VB,W,1
1063,PRP NN IN,MD,1
624,MD VB IN,W,1
1150,PRP$ JJ CC,DD,1
1163,PRP$ NN IN,AGD,1
1162,PRP$ NN CC,R,1
1161,PRP$ NN CC,AGD,1
1160,PRP$ NN .,UT,1
1159,PRP$ NN .,UQ,1
1158,PRP$ NN .,S,1
1156,"PRP$ NN ,",UP,1
1155,"PRP$ NN ,",DD,1
1154,"PRP$ NN ,",AGD,1
1152,PRP$ JJ NNS,W,1
1151,PRP$ JJ NN,DD,1
1149,PRP WRB PRP,MA,1
1064,PRP PDT DT,MA,1
1146,PRP VBZ TO,MA,1
1145,PRP VBZ RB,MP,1
1142,PRP VBZ PRP$,W,1
1141,PRP VBZ PRP$,RA,1
1140,PRP VBZ NN,MP,1
1139,PRP VBZ JJ,MP,1
1137,PRP VBZ JJ,M,1
1136,PRP VBZ JJ,AS,1
1135,PRP VBZ IN,U,1
1134,PRP VBZ IN,RA,1
1132,PRP VBZ IN,AGA,1
1164,PRP$ NN IN,DD,1
1165,PRP$ NN IN,MA,1
1166,PRP$ NN IN,MD,1
1167,PRP$ NN IN,RD,1
1195,"RB , CC",MY,1
1194,"RB , .",SX,1
1193,"RB , .",S,1
1191,"PRP$ RB ,",RP,1
1189,PRP$ NNS WP,UT,1
1188,PRP$ NNS VBD,W,1
1187,PRP$ NNS CC,RP,1
1185,PRP$ NN VBZ,W,1
1184,PRP$ NN VBZ,R,1
1183,PRP$ NN VBD,UC,1
